solver,puzzle_id,status,solve_time,propagations
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223200_puzzle,unsat,0.21029067039489746,190489
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223508_puzzle,sat,0.22662830352783203,190608
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223405_puzzle,unsat,0.20555520057678223,190600
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223535_puzzle,sat,0.21688246726989746,190516
DPLL(T),sudoku_25x25_Difficult_20241212_225213_puzzle,sat,0.22069621086120605,190544
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223447_puzzle,sat,0.2129504680633545,190582
DPLL(T),sudoku_25x25_Easy_20241212_223849_puzzle,sat,0.22847485542297363,190580
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223529_puzzle,unsat,0.22182416915893555,190531
DPLL(T),sudoku_25x25_Easy_20241212_223724_puzzle,sat,0.23672890663146973,190530
DPLL(T),sudoku_25x25_Difficult_20241212_225104_puzzle,sat,0.21407055854797363,190552
DPLL(T),sudoku_25x25_Difficult_20241212_225210_puzzle,unsat,0.22690820693969727,190508
DPLL(T),sudoku_25x25_Easy_20241212_223548_puzzle,unsat,0.21529102325439453,190620
DPLL(T),sudoku_25x25_Medium_20241212_224256_puzzle,unsat,0.23816251754760742,190484
DPLL(T),sudoku_25x25_Evil_20241212_230353_puzzle,unsat,0.22458672523498535,190619
DPLL(T),sudoku_25x25_Evil_20241212_225813_puzzle,unsat,0.2280411720275879,190545
DPLL(T),sudoku_25x25_Easy_20241212_223552_puzzle,unsat,1.480679988861084,190623
DPLL(T),sudoku_25x25_Medium_20241212_224259_puzzle,unsat,0.2282240390777588,190548
DPLL(T),sudoku_25x25_Easy_20241212_224105_puzzle,unsat,0.21538281440734863,190508
DPLL(T),sudoku_25x25_Medium_20241212_224843_puzzle,sat,1.2131648063659668,190437
DPLL(T),sudoku_25x25_Easy_20241212_223933_puzzle,unsat,0.22107481956481934,190542
DPLL(T),sudoku_25x25_Medium_20241212_224534_puzzle,sat,0.21373939514160156,190540
DPLL(T),sudoku_25x25_Difficult_20241212_225013_puzzle,sat,0.2331070899963379,190551
DPLL(T),sudoku_25x25_Difficult_20241212_225109_puzzle,unsat,0.2400963306427002,190552
DPLL(T),sudoku_25x25_Evil_20241212_225807_puzzle,unsat,0.23575162887573242,190493
DPLL(T),sudoku_25x25_Medium_20241212_224238_puzzle,unsat,0.21395421028137207,190546
DPLL(T),sudoku_25x25_Evil_20241212_230319_puzzle,unsat,0.22552871704101562,190506
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223331_puzzle,sat,0.2324216365814209,190603
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223506_puzzle,sat,15.23030948638916,190404
DPLL(T),sudoku_25x25_Easy_20241212_223757_puzzle,sat,0.4131171703338623,190481
DPLL(T),sudoku_25x25_Medium_20241212_224845_puzzle,unsat,0.2339317798614502,190562
DPLL(T),sudoku_25x25_Easy_20241212_223940_puzzle,unsat,0.21212530136108398,190503
DPLL(T),sudoku_25x25_Easy_20241212_224009_puzzle,unsat,0.2158811092376709,190589
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223333_puzzle,sat,0.24305963516235352,190511
DPLL(T),sudoku_25x25_Easy_20241212_223857_puzzle,sat,0.21673154830932617,190610
